dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added
R7545,http://static.christanfergus.com/images/diecast/DSC01000.JPG,SCIROCCO GT 24,3A,ALL STARS '10,BURGANDY,2010,2/10/2015,,,,,PDigwodDLwByNXtBS,
V3903,http://static.christanfergus.com/images/diecast/DSC01002.JPG,VOLKSWAGEN BEETLE,4A,CLOVER CARS,GREEN,2011,6/6/2015,,,,,PDigwodDLwByNXtBS,
R3727,http://static.christanfergus.com/images/diecast/DSC01006.JPG,SUPER VAN,3A,REAL RIDERS,ORANGE,2010,1/34,,,,,PDigwodDLwByNXtBS,
V5428,http://static.christanfergus.com/images/diecast/DSC01008.JPG,FERRARI 599XX,3A,HW ALL STARS '12,RED,2012,5/10/2015,,,,,PDigwodDLwByNXtBS,
V5556,http://static.christanfergus.com/images/diecast/DSC01011.JPG,53 FORD MUSTANG II CONCEPT,4A,2011 NEW MODELS,BURGANDY,2011,14/50,,,,,PDigwodDLwByNXtBS,
T9775,http://static.christanfergus.com/images/diecast/DSC01013.JPG,SURFIN' SCHOOL BUS,4A,HW VIDEO GAME HEROES '11,YELLOW,2011,10/22/2015,,,,,PDigwodDLwByNXtBS,
R0953,http://static.christanfergus.com/images/diecast/DSC01015.JPG,71 MAVERICK GRABBER,3A,2010 NEW MODELS,GOLD,2010,33/44,,,,,PDigwodDLwByNXtBS,
T9704,http://static.christanfergus.com/images/diecast/DSC01017.JPG,BLVD. BRUISER,4A,2011 NEW MODELS,RUST,2011,34/50,,,,,PDigwodDLwByNXtBS,
T9824,http://static.christanfergus.com/images/diecast/DSC01019.JPG,HONDA CIVIC SI,4A,NIGHTBURNERZ '11,YELLOW,2011,7/10/2015,,,,,PDigwodDLwByNXtBS,
V0031,http://static.christanfergus.com/images/diecast/DSC01021.JPG,47 WILLYS,4A,HW RACING '11,BLACK,2011,2/10/2015,,,,,PDigwodDLwByNXtBS,
V5431,http://static.christanfergus.com/images/diecast/DSC01023.JPG,LAMBORGHINI ESTOQUE,3A,HW ALL STARS '12,YELLOW,2012,8/10/2015,,,,,PDigwodDLwByNXtBS,
R0956,http://static.christanfergus.com/images/diecast/DSC01025.JPG,71 DODGE CHARGER,3A,2010 NEW MODELS,GREEN,2010,36/44,,,,,PDigwodDLwByNXtBS,
