dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy
14907,768,CHEVY 1500,1A,1996 FIRST EDITIONS,,1996,2/12,367,,,,PDigwodDLwByNXtBS
14908,772,1970 DODGE CHARGER DAYTONA,1A,1996 FIRST EDITIONS,,1996,3/12,382,,,,PDigwodDLwByNXtBS
14909,774,SIZZLERS,1A,1996 FIRST EDITIONS,,1996,8/12,369,,,,PDigwodDLwByNXtBS
14910,764,RAIL RODDER,1A,1996 FIRST EDITIONS,,1996,5/12,370,,,,PDigwodDLwByNXtBS
14911,776,ROAD ROCKET,1A,1996 FIRST EDITIONS,,1996,7/12,371,,,,PDigwodDLwByNXtBS
14913,719,STREET CLEAVER,1A,1996 FIRST EDITIONS,,1996,4/12,373,,,,PDigwodDLwByNXtBS
14914-0910G1,758,RADIO FLYER WAGON,1A,1996 FIRST EDITIONS,,1996,9/12,374,,POSSIBLE DEFECT-MADE IN CHINA,,PDigwodDLwByNXtBS
14914-0918,760,RADIO FLYER WAGON,1A,1996 FIRST EDITIONS,,1996,9/12,374,,,,PDigwodDLwByNXtBS
14915,766,DOGFIGHTER,1A,1996 FIRST EDITIONS,,1996,10/12,375,,,,PDigwodDLwByNXtBS
14916,762,TWANG THANG,1A,1996 FIRST EDITIONS,,1996,11/12,376,,,,PDigwodDLwByNXtBS
14917,770,FERRARI F50,1A,1996 FIRST EDITIONS,RED,1996,12/12,377,,,,PDigwodDLwByNXtBS
15218,840,DODGE RAM 1500 (1995),1A,RACE TRUCK SERIES,SILVER,1996,1/4,380,,,,PDigwodDLwByNXtBS
16938,740,SILHOUETTE II,1A,DEALER'S CHOICE SERIES,BLUE,1997,1/4,565,,,,PDigwodDLwByNXtBS
16939,744,STREET BEAST,1A,DEALER'S CHOICE SERIES,WHITE,1997,2/4,566,,,,PDigwodDLwByNXtBS
16940,746,BAJA BUG,1A,DEALER'S CHOICE SERIES,MAROON,1997,3/4,567,,,,PDigwodDLwByNXtBS
16941,748,63 CORVETTE,1A,DEALER'S CHOICE SERIES,BLACK,1997,4/4,568,,,,PDigwodDLwByNXtBS
16662,782,FIREBIRD FUNNY CAR,1A,1997 FIRST EDITIONS,,1997,1/12,509,,,,PDigwodDLwByNXtBS
16666,784,FORD F-150,1A,1997 FIRST EDITIONS,,1997,2/12,513,,,,PDigwodDLwByNXtBS
16667,790,WAY 2 FAST,1A,1997 FIRST EDITIONS,,1997,7/12,514,,,,PDigwodDLwByNXtBS
16668,794,97 CORVETTE,1A,1997 FIRST EDITIONS,,1997,11/12,515,,,,PDigwodDLwByNXtBS
16669,792,MERCEDES C-CLASS,1A,1997 FIRST EDITIONS,,1997,10/12,516,,,,PDigwodDLwByNXtBS
16670,788,59 CHEVY IMPALA,1A,1997 FIRST EDITIONS,,1997,5/12,517,,,,PDigwodDLwByNXtBS
16671,711,BMW M ROADSTER,1A,1997 FIRST EDITIONS,SILVER,1997,6/12,518,,,,PDigwodDLwByNXtBS
16673,786,SALTFLAT RACER,1A,1997 FIRST EDITIONS,,1997,4/12,520,,,,PDigwodDLwByNXtBS
16915,730,MONEYED MADNESS,1A,BIFF! BAM! BOOM! SERIES,BLUE,1997,2/4,542,,,,PDigwodDLwByNXtBS
18795,750,ALIEN,1A,ARTISTIC LICENSE SERIES,WHITE,1998,1/4,729,,,,PDigwodDLwByNXtBS
18796,752,57 CHEVY,1A,ARTISTIC LICENSE SERIES,GREY,1998,2/4,730,,,,PDigwodDLwByNXtBS
18797,754,VW BUG,1A,ARTISTIC LICENSE SERIES,WHITE,1998,3/4,731,,,,PDigwodDLwByNXtBS
18798,756,1970 PLYMOUTH BARRACUDA,1A,ARTISTIC LICENSE SERIES,BLACK,1998,4/4,732,,,,PDigwodDLwByNXtBS
18143,1041,ESCORT RALLY,1A,1998 FIRST EDITIONS,WHITE,1998,1/48,637,X,,,PDigwodDLwByNXtBS
18530,804,MERCEDES SLK,1A,1998 FIRST EDITIONS,,1998,11/40,646,,,,PDigwodDLwByNXtBS
18531,800,CHAPARRAL 2,1A,1998 FIRST EDITIONS,WHITE,1998,28/40,669,X,,,PDigwodDLwByNXtBS
18535,796,70 ROADRUNNER,1A,1998 FIRST EDITIONS,,1998,17/40,661,,,,PDigwodDLwByNXtBS
18536,818,CALLWAY C-7,1A,1998 FIRST EDITIONS,,1998,31/40,677,,,,PDigwodDLwByNXtBS
18540,822,LAKESTER,1A,1998 FIRST EDITIONS,,1998,12/40,647,,,,PDigwodDLwByNXtBS
18542,820,MUSTANG COBRA,1A,1998 FIRST EDITIONS,,1998,18/40,665,,,,PDigwodDLwByNXtBS
18544,814,IROC FIREBIRD,1A,1998 FIRST EDITIONS,,1998,16/40,653,,,,PDigwodDLwByNXtBS
18545,667,PANOZ GTR-1,1A,1998 FIRST EDITIONS,WHITE,1998,19/40,657,X,,,PDigwodDLwByNXtBS
18587,810,32 FORD,1A,1998 FIRST EDITIONS,,1998,7/40,636,,,,PDigwodDLwByNXtBS
18674,798,40 FORD,1A,1998 FIRST EDITIONS,,1998,20/40,654,,,,PDigwodDLwByNXtBS
18678,816,HOT SEAT,1A,1998 FIRST EDITIONS,,1998,13/40,648,,,,PDigwodDLwByNXtBS
18840,812,SUPER COMP DRAGSTER,1A,1998 FIRST EDITIONS,,1998,22/40,655,,,,PDigwodDLwByNXtBS
18841,824,TOW JAM,1A,1998 FIRST EDITIONS,,1998,25/40,658,,,,PDigwodDLwByNXtBS
18842,808,SOLAR EAGLE III,1A,1998 FIRST EDITIONS,,1998,23/40,650,,,,PDigwodDLwByNXtBS
18843,826,AT-A-TUDE,1A,1998 FIRST EDITIONS,,1998,34/40,667,,,,PDigwodDLwByNXtBS
18847,828,BAD MUDDER,1A,1998 FIRST EDITIONS,,1998,33/40,662,,,,PDigwodDLwByNXtBS
18850,802,FORD GT-90,1A,1998 FIRST EDITIONS,,1998,14/40,668,,,,PDigwodDLwByNXtBS
18856,806,WHATTA DRAG,1A,1998 FIRST EDITIONS,,1998,36/40,673,,,,PDigwodDLwByNXtBS
18852,IMG_20150711_205012.jpg,PORSCHE 911 GT1-98,1A,1999 FIRST EDITIONS,WHITE,1999,25/26,676,X,,,PDigwodDLwByNXtBS
21068,IMG_20150721_202141.jpg,FORD GT-40,1A,1999 FIRST EDITIONS,BLUE,1999,16/26,921,X,,,PDigwodDLwByNXtBS
21073,IMG_20150718_152837.jpg,MERCEDES CLK-LM,1A,1999 FIRST EDITIONS,SILVER,1999,26/26,926,X,,,PDigwodDLwByNXtBS
21074,780,56 FORD TRUCK,1A,1999 FIRST EDITIONS,,1999,22/26,927,,,,PDigwodDLwByNXtBS
21075,778,CHRYSLER PRONTO,1A,1999 FIRST EDITIONS,,1999,23/26,928,,,,PDigwodDLwByNXtBS
21319,IMG_20150629_203550,PIKES PEAK CELICA,1A,SUGAR RUSH SERIES 2,WHITE,1999,3/4,971,,SWEET TARTS,,PDigwodDLwByNXtBS
52938,IMG_20150722_204236.jpg,LANCIA STRATOS,1A,2002 FIRST EDITIONS,RED,2002,25/42,037,,,,PDigwodDLwByNXtBS
B3566,928,DAIRY DELIVERY,1A,2004 FIRST EDITIONS - BLINGS,WHITE,2004,12/100,012,,,,PDigwodDLwByNXtBS
G6723,926,BLOCK 'O WOOD,1A,2005 FIRST EDITIONS - BLINGS,WOOD/BURGANDY,2005,8/10,038,,,,PDigwodDLwByNXtBS
K6138,916,SHELBY COBRA DAYTONA COUPE,1A,2007 NEW MODELS,SILVER,2007,6/36,,,,,PDigwodDLwByNXtBS
K7639,964,AUDACIOUS,1A,CODE CAR,BLACK,2007,4/24,,,,,PDigwodDLwByNXtBS
R0931,982,81 DELOREAN DMC-12,,2010 NEW MODELS,GOLD,2010,15/44,,,,,PDigwodDLwByNXtBS
R0947,713,62 FORD MUSTANG CONCEPT,,2010 NEW MODELS,,2010,28/44,,,,,PDigwodDLwByNXtBS
R0953,1015,71 MAVERICK GRABBER,,2010 NEW MODELS,,2010,33/44,,,,,PDigwodDLwByNXtBS
R7504,1029,AMC JAVELIN AMX,,MUSCLE MANIA '10,,2010,1/10,,,,,PDigwodDLwByNXtBS
R7523,852,VOLKWAGEN GOLF GTI,,NIGHTBURNERZ,,2010,10/10,,,,,PDigwodDLwByNXtBS
R7545,1000,SCIROCCO GT 24,,ALL STARS '10,,2010,2/10,,,,,PDigwodDLwByNXtBS
R7551,952,VOLKSWAGEN SP2,,ALL STARS '10,,2010,8/10,,,,,PDigwodDLwByNXtBS
R7553,998,FERRARI 308 GTS,,ALL STARS '10,,2010,10/10,,,,,PDigwodDLwByNXtBS
R7554,1027,CUSTOM V-8 VEGA,,FASTER THAN EVER '10,,2010,1/10,,,,DUP,PDigwodDLwByNXtBS
R7554,882,CUSTOM V-8 VEGA,,FASTER THAN EVER '10,,2010,1/10,,,,,PDigwodDLwByNXtBS
V4428,707,HOT BIRD,,CARS OF THE DECADES,SILVER,2010,18/32,,,,,PDigwodDLwByNXtBS
V5399,874,ASTON MARTIN DBS,,FASTER THAN EVER,MAROON,2010,9/10,,,,,PDigwodDLwByNXtBS
T9688,966,BACK TO THE FUTURE TIME MACHINE,,2011 NEW MODELS,GREY,2011,18/50,,,,,PDigwodDLwByNXtBS
T9848,968,81 DELOREAN DMC-12,,FASTER THAN EVER,GREY,2011,1/10,,,,,PDigwodDLwByNXtBS
V5223,1045,PORSCHE 911 GT2,,NIGHTBURNERZ ,,2011,9/10,,,,,PDigwodDLwByNXtBS
W4241,1053,FERRARI,,FERRARI 5-PACK,,2011,,,,,,PDigwodDLwByNXtBS
T9672,976,72 FORD GRAN TURISMO SPORT,,2011 NEW MODELS,,2011,2/50,,,,,PDigwodDLwByNXtBS
T9696,884,10 BMW M3,,2011 NEW MODELS,WHITE,2011,26/50,,,,,PDigwodDLwByNXtBS
T9701,914,ASTON MARTIN ONE-77,,2011 NEW MODELS,,2011,31/50,,,,,PDigwodDLwByNXtBS
T9703,848,NISSAN SKYLINE H/T 2000GT-X,,2011 NEW MODELS,,2011,33/50,,,,,PDigwodDLwByNXtBS
T9704,1017,BLVD. BRUISER,,2011 NEW MODELS,,2011,34/50,,,,,PDigwodDLwByNXtBS
T9710,892,11 KEN BLOCK FORD FIESTA,,2011 NEW MODELS,,2011,40/50,,,,,PDigwodDLwByNXtBS
T9715,896,FERRARI FF,,2011 NEW MODELS,,2011,45/50,,,,,PDigwodDLwByNXtBS
T9715,990,FERRARI FF,,2011 NEW MODELS,,2011,45/50,,,,,PDigwodDLwByNXtBS
T9718,918,LAMBORGHINI ESTOQUE,,2011 NEW MODELS,,2011,48/50,,,,,PDigwodDLwByNXtBS
T9755,872,TRIUMPH TR6,,TRACK STARS '11,,2011,5/15,,,,,PDigwodDLwByNXtBS
T9775,1013,SURFIN' SCHOOL BUS,,HW VIDEO GAME HEROES '11,,2011,10/22,,,,,PDigwodDLwByNXtBS
T9784,862,AMAZOOM,,HW VIDEO GAME HEROES '11,,2011,19/22,,,,,PDigwodDLwByNXtBS
T9806,1037,CUSTOM VOLKSWAGEN BEETLE,,HEAT FLEET '11,,2011,9/10,,,,,PDigwodDLwByNXtBS
T9812,1039,70 PONTIAC GTO,,MUSCLE MANIA '11,,2011,5/10,,,,,PDigwodDLwByNXtBS
T9824,1019,HONDA CIVIC SI,,NIGHTBURNERZ '11,,2011,7/10,,,,,PDigwodDLwByNXtBS
T9825,956,LAMBORGHINI REVENTON,,NIGHTBURNERZ '11,,2011,8/10,,,,,PDigwodDLwByNXtBS
T9840,866,TOYOTA LAND CRUISER FJ40,,HW PERFORMANCE '11,,2011,3/10,,,,,PDigwodDLwByNXtBS
T9849,958,AMC JAVELIN AMX,,FASTER THAN EVER '11,,2011,2/10,,,,,PDigwodDLwByNXtBS
T9866,930,92 FORD MUSTANG,,HW RACING '11,,2011,9/10,,,,,PDigwodDLwByNXtBS
T9893,912,POWER PANEL,,THRILL RACERS- DESERT '11,,2011,6/6,,,,,PDigwodDLwByNXtBS
T9911,898,SUBARU IMPREZA,,THRILL RACERS- VOLCANO '11,,2011,6/6,,,,,PDigwodDLwByNXtBS
T9926,868,FORD GT,,THRILL RACERS- RACEWAY,,2011,3/6,,,,,PDigwodDLwByNXtBS
T9929,1049,FIRE-EATER,,THRILL RACERS - RACEWAY,,2011,6/6,,,,,PDigwodDLwByNXtBS
T9942,972,66 CHEVY NOVA,,HW RACING '11,,2011,4/10,,,,,PDigwodDLwByNXtBS
