_id,dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added,dc_treasure_hunt,dc_damaged
560370a2d62d105a0c933376,14913,http://static.christanfergus.com/images/diecast/DSC00719.JPG,STREET CLEAVER,1A,1996 FIRST EDITIONS,,1996,4/12/2015,373,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933377,14914-0910G1,http://static.christanfergus.com/images/diecast/DSC00758.JPG,RADIO FLYER WAGON,1A,1996 FIRST EDITIONS,,1996,9/12/2015,374,,POSSIBLE DEFECT-MADE IN CHINA,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933378,14914-0918,http://static.christanfergus.com/images/diecast/DSC00760.JPG,RADIO FLYER WAGON,1A,1996 FIRST EDITIONS,,1996,9/12/2015,374,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933379,14916,http://static.christanfergus.com/images/diecast/DSC00762.JPG,TWANG THANG,1A,1996 FIRST EDITIONS,,1996,11/12/2015,376,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337a,14910,http://static.christanfergus.com/images/diecast/DSC00764.JPG,RAIL RODDER,1A,1996 FIRST EDITIONS,,1996,5/12/2015,370,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337b,14915,http://static.christanfergus.com/images/diecast/DSC00766.JPG,DOGFIGHTER,1A,1996 FIRST EDITIONS,,1996,10/12/2015,375,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337c,14907,http://static.christanfergus.com/images/diecast/DSC00768.JPG,CHEVY 1500,1A,1996 FIRST EDITIONS,,1996,2/12/2015,367,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337d,14917,http://static.christanfergus.com/images/diecast/DSC00770.JPG,FERRARI F50,1A,1996 FIRST EDITIONS,RED,1996,12/12/2015,377,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337e,14908,http://static.christanfergus.com/images/diecast/DSC00772.JPG,1970 DODGE CHARGER DAYTONA,1A,1996 FIRST EDITIONS,,1996,3/12/2015,382,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337f,14909,http://static.christanfergus.com/images/diecast/DSC00774.JPG,SIZZLERS,1A,1996 FIRST EDITIONS,,1996,8/12/2015,369,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933380,14911,http://static.christanfergus.com/images/diecast/DSC00776.JPG,ROAD ROCKET,1A,1996 FIRST EDITIONS,,1996,7/12/2015,371,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933381,16671,http://static.christanfergus.com/images/diecast/DSC00711.JPG,BMW M ROADSTER,1A,1997 FIRST EDITIONS,SILVER,1997,6/12/2015,518,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933382,16662,http://static.christanfergus.com/images/diecast/DSC00782.JPG,FIREBIRD FUNNY CAR,1A,1997 FIRST EDITIONS,,1997,1/12/2015,509,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933383,16666,http://static.christanfergus.com/images/diecast/DSC00784.JPG,FORD F-150,1A,1997 FIRST EDITIONS,,1997,2/12/2015,513,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933384,16673,http://static.christanfergus.com/images/diecast/DSC00786.JPG,SALTFLAT RACER,1A,1997 FIRST EDITIONS,,1997,4/12/2015,520,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933385,16670,http://static.christanfergus.com/images/diecast/DSC00788.JPG,59 CHEVY IMPALA,1A,1997 FIRST EDITIONS,,1997,5/12/2015,517,,,,PDigwodDLwByNXtBS,,,
